codigo,descripcion,kcal_100g
C011,"Hamburguesa de carne vacuna, industrializada",218.0
C124,"Hamburguesa de carne vacuna, industrializada, rebozada",240.0
C053,"Hamburguesa de carne vacuna, industrializada light",175.0
C012,"Hígado, crudo",130.0
C122,"Hígado de pollo, crudo",114.0
C103,"Jabalí, crudo",116.0
C004,Jamón cocido,107.0
C005,Jamón crudo,319.0
C054,Leberwurst,322.0
C013,"Lengua, cruda",219.0
C056,Lomito ahumado,115.0
C085,"Vacuno, cortes semigrasos, (ej: lomo, carne picada especial, roast beef, paleta, bife angosto, tortuguita, palomita), PROMEDIO, horno/parrilla",225.0
C055,Longaniza,425.0
C057,Matambre (fiambre),176.0
C014,"Mollejas, crudas",232.0
C015,"Mondongo, crudo",81.0
C016,Morcilla,374.0
C017,Mortadela,306.0
C070,Nuggets o patitas de pollo,262.0
C108,"Osobuco, crudo",210.0
C097,Paleta (fiambre),107.0
C006,Panceta,389.0
C058,Pastrón,141.0
C018,Paté / picadillo,315.0
C019,"Pato, crudo",130.0
C020,"Pavo, crudo",108.0
C021,"Pollo con piel, crudo",208.0
C023,"Pollo sin piel, crudo",106.0
C022,"Pollo, menudos, crudos",122.0
C059,"Pollo, pechuga sin piel, crudo",114.0
C117,Granada,63.0
C025,"Riñón, crudo",99.0
C086,"Vacuno, cortes semigrasos, (ej: lomo, carne picada especial, roast beef, paleta, bife angosto, tortuguita, palomita), PROMEDIO, horno/parrilla",225.0
C026,Salame,372.0
C027,Salchicha de viena,226.0
C066,Salchicha de viena light,140.0
C028,"Salchicha parrillera, cruda",296.0
C067,Salchichón,243.0
C029,"Sesos, crudos",140.0
C090,"Vacuno, cortes semigrasos, (ej: lomo, carne picada especial, roast beef, paleta, bife angosto, tortuguita, palomita), PROMEDIO, horno/parrilla",225.0
C030,"Ubre, cruda",230.0
C035,"Vacuno, cortes semigrasos, (ej: lomo, carne picada especial, roast beef, paleta, bife angosto, tortuguita, palomita), PROMEDIO, horno/parrilla",225.0
C060,"Vizcacha, cruda",160.0
H001,"Huevo de gallina, entero, crudo",156.0
H002,"Huevo de gallina, clara, cruda",51.0
H003,"Huevo de gallina, yema, cruda",339.0
H004,"Huevo de codorníz, entero, crudo",175.0
P029,"Abadejo, crudo",72.0
P042,"Almeja, cruda",82.0
P010,"Anchoa, enlatada en aceite",203.0
P008,"Atún, enlatado en aceite",190.0
